time, s;kernel_delta_c, m3.kg-1
0;0.0000000E+00
25;-1.7280409E-05
50;-2.4173452E-05
75;-2.8795378E-05
100;-3.2234986E-05
125;-3.4976453E-05
150;-3.7231466E-05
175;-3.9129543E-05
200;-4.0753007E-05
225;-4.2157765E-05
250;-4.3383670E-05
275;-4.4460235E-05
300;-4.5409947E-05
325;-4.6250367E-05
350;-4.6995479E-05
375;-4.7656605E-05
400;-4.8243042E-05
425;-4.8762524E-05
450;-4.9221549E-05
475;-4.9625636E-05
500;-4.9979507E-05
525;-5.0287244E-05
550;-5.0552392E-05
575;-5.0778058E-05
600;-5.0966983E-05
625;-5.1121595E-05
650;-5.1244063E-05
675;-5.1336330E-05
700;-5.1400148E-05
725;-5.1437107E-05
750;-5.1448655E-05
775;-5.1436112E-05
800;-5.1400697E-05
825;-5.1343529E-05
850;-5.1265650E-05
875;-5.1168021E-05
900;-5.1051544E-05
925;-5.0917061E-05
950;-5.0765361E-05
975;-5.0597188E-05
1000;-5.0413243E-05
1025;-5.0214188E-05
1050;-5.0000654E-05
1075;-4.9773234E-05
1100;-4.9532500E-05
1125;-4.9278991E-05
1150;-4.9013223E-05
1175;-4.8735692E-05
1200;-4.8446868E-05
1225;-4.8147204E-05
1250;-4.7837135E-05
1275;-4.7517079E-05
1300;-4.7187436E-05
1325;-4.6848588E-05
1350;-4.6500913E-05
1375;-4.6144763E-05
1400;-4.5780481E-05
1425;-4.5408401E-05
1450;-4.5028843E-05
1475;-4.4642113E-05
1500;-4.4248510E-05
1525;-4.3848324E-05
1550;-4.3441826E-05
1575;-4.3029290E-05
1600;-4.2610970E-05
1625;-4.2187121E-05
1650;-4.1757978E-05
1675;-4.1323780E-05
1700;-4.0884749E-05
1725;-4.0441103E-05
1750;-3.9993054E-05
1775;-3.9540806E-05
1800;-3.9084551E-05
1825;-3.8624484E-05
1850;-3.8160786E-05
1875;-3.7693636E-05
1900;-3.7223207E-05
1925;-3.6749658E-05
1950;-3.6273155E-05
1975;-3.5793852E-05
2000;-3.5311894E-05
2025;-3.4827434E-05
2050;-3.4340605E-05
2075;-3.3851542E-05
2100;-3.3360378E-05
2125;-3.2867235E-05
2150;-3.2372236E-05
2175;-3.1875501E-05
2200;-3.1377140E-05
2225;-3.0877263E-05
2250;-3.0375975E-05
2275;-2.9873377E-05
2300;-2.9369570E-05
2325;-2.8864646E-05
2350;-2.8358699E-05
2375;-2.7851815E-05
2400;-2.7344078E-05
2425;-2.6835574E-05
2450;-2.6326378E-05
2475;-2.5816567E-05
2500;-2.5306218E-05
2525;-2.4795398E-05
2550;-2.4284175E-05
2575;-2.3772618E-05
2600;-2.3260788E-05
2625;-2.2748746E-05
2650;-2.2236550E-05
2675;-2.1724256E-05
2700;-2.1211923E-05
2725;-2.0699599E-05
2750;-2.0187336E-05
2775;-1.9675180E-05
2800;-1.9163180E-05
2825;-1.8651382E-05
2850;-1.8139826E-05
2875;-1.7628555E-05
2900;-1.7117608E-05
2925;-1.6607023E-05
2950;-1.6096837E-05
2975;-1.5587085E-05
3000;-1.5077802E-05
3025;-1.4569018E-05
3050;-1.4060766E-05
3075;-1.3553077E-05
3100;-1.3045976E-05
3125;-1.2539492E-05
3150;-1.2033651E-05
3175;-1.1528480E-05
3200;-1.1024000E-05
3225;-1.0520234E-05
3250;-1.0017206E-05
3275;-9.5149370E-06
3300;-9.0134457E-06
3325;-8.5127516E-06
3350;-8.0128741E-06
3375;-7.5138285E-06
3400;-7.0156336E-06
3425;-6.5183001E-06
3450;-6.0218540E-06
3475;-5.5262964E-06
3500;-5.0316500E-06
3525;-4.5379254E-06
3550;-4.0451354E-06
3575;-3.5532880E-06
3600;-3.0623985E-06
3625;-2.5724769E-06
3650;-2.0835293E-06
3675;-1.5955712E-06
3700;-1.1086052E-06
3725;-6.2264604E-07
3750;-1.3769486E-07
3775;3.4623647E-07
3800;8.2914364E-07
3825;1.3110157E-06
3850;1.7918511E-06
3875;2.2716435E-06
3900;2.7503862E-06
3925;3.2280754E-06
3950;3.7047066E-06
3975;4.1802731E-06
4000;4.6547757E-06
4025;5.1282058E-06
4050;5.6005627E-06
4075;6.0718447E-06
4100;6.5420466E-06
4125;7.0111674E-06
4150;7.4792039E-06
4175;7.9461579E-06
4200;8.4120219E-06
4225;8.8767971E-06
4250;9.3404845E-06
4275;9.8030804E-06
4300;1.0264585E-05
4325;1.0724998E-05
4350;1.1184318E-05
4375;1.1642546E-05
4400;1.2099680E-05
4425;1.2555724E-05
4450;1.3010673E-05
4475;1.3464534E-05
4500;1.3917301E-05
4525;1.4368979E-05
4550;1.4819565E-05
4575;1.5269064E-05
4600;1.5717477E-05
4625;1.6164803E-05
4650;1.6611044E-05
4675;1.7056200E-05
4700;1.7500274E-05
4725;1.7943270E-05
4750;1.8385187E-05
4775;1.8826027E-05
4800;1.9265792E-05
4825;1.9704483E-05
4850;2.0142105E-05
4875;2.0578657E-05
4900;2.1014144E-05
4925;2.1448566E-05
4950;2.1881926E-05
4975;2.2314227E-05
5000;2.2745470E-05
5025;2.3175660E-05
5050;2.3604797E-05
5075;2.4032883E-05
5100;2.4459923E-05
5125;2.4885922E-05
5150;2.5310874E-05
5175;2.5734789E-05
5200;2.6157670E-05
5225;2.6579515E-05
5250;2.7000331E-05
5275;2.7420119E-05
5300;2.7838884E-05
5325;2.8256624E-05
5350;2.8673348E-05
5375;2.9089054E-05
5400;2.9503747E-05
5425;2.9917431E-05
5450;3.0330107E-05
5475;3.0741781E-05
5500;3.1152452E-05
5525;3.1562125E-05
5550;3.1970802E-05
5575;3.2378490E-05
5600;3.2785186E-05
5625;3.3190898E-05
5650;3.3595628E-05
5675;3.3999378E-05
5700;3.4402148E-05
5725;3.4803947E-05
5750;3.5204776E-05
5775;3.5604636E-05
5800;3.6003533E-05
5825;3.6401468E-05
5850;3.6798445E-05
5875;3.7194467E-05
5900;3.7589536E-05
5925;3.7983655E-05
5950;3.8376831E-05
5975;3.8769063E-05
6000;3.9160354E-05
6025;3.9550709E-05
6050;3.9940129E-05
6075;4.0328620E-05
6100;4.0716181E-05
6125;4.1102818E-05
6150;4.1488535E-05
6175;4.1873330E-05
6200;4.2257212E-05
6225;4.2640179E-05
6250;4.3022236E-05
6275;4.3403389E-05
6300;4.3783635E-05
6325;4.4162980E-05
6350;4.4541426E-05
6375;4.4918981E-05
6400;4.5295639E-05
6425;4.5671409E-05
6450;4.6046292E-05
6475;4.6420292E-05
6500;4.6793411E-05
6525;4.7165650E-05
6550;4.7537017E-05
6575;4.7907509E-05
6600;4.8277132E-05
6625;4.8645886E-05
6650;4.9013779E-05
6675;4.9380808E-05
6700;4.9746981E-05
6725;5.0112297E-05
6750;5.0476758E-05
6775;5.0840369E-05
6800;5.1203132E-05
6825;5.1565051E-05
6850;5.1926127E-05
6875;5.2286363E-05
6900;5.2645761E-05
6925;5.3004325E-05
6950;5.3362059E-05
6975;5.3718961E-05
7000;5.4075037E-05
7025;5.4430287E-05
7050;5.4784718E-05
7075;5.5138328E-05
7100;5.5491122E-05
7125;5.5843101E-05
7150;5.6194269E-05
7175;5.6544627E-05
7200;5.6894179E-05
7225;5.7242928E-05
7250;5.7590873E-05
7275;5.7938021E-05
7300;5.8284370E-05
7325;5.8629925E-05
7350;5.8974687E-05
7375;5.9318660E-05
7400;5.9661847E-05
7425;6.0004246E-05
7450;6.0345865E-05
7475;6.0686701E-05
7500;6.1026761E-05
7525;6.1366044E-05
7550;6.1704554E-05
7575;6.2042292E-05
7600;6.2379261E-05
7625;6.2715464E-05
7650;6.3050903E-05
7675;6.3385580E-05
7700;6.3719497E-05
7725;6.4052655E-05
7750;6.4385057E-05
7775;6.4716707E-05
7800;6.5047605E-05
7825;6.5377754E-05
7850;6.5707155E-05
7875;6.6035813E-05
7900;6.6363728E-05
7925;6.6690902E-05
7950;6.7017337E-05
7975;6.7343035E-05
8000;6.7667999E-05
8025;6.7992233E-05
8050;6.8315735E-05
8075;6.8638508E-05
8100;6.8960556E-05
8125;6.9281879E-05
8150;6.9602481E-05
8175;6.9922362E-05
8200;7.0241528E-05
8225;7.0559973E-05
8250;7.0877708E-05
8275;7.1194728E-05
8300;7.1511039E-05
8325;7.1826642E-05
8350;7.2141538E-05
8375;7.2455730E-05
8400;7.2769220E-05
8425;7.3082009E-05
8450;7.3394099E-05
8475;7.3705490E-05
8500;7.4016189E-05
8525;7.4326194E-05
8550;7.4635509E-05
8575;7.4944135E-05
8600;7.5252073E-05
8625;7.5559324E-05
8650;7.5865889E-05
8675;7.6171777E-05
8700;7.6476982E-05
8725;7.6781509E-05
8750;7.7085359E-05
8775;7.7388536E-05
8800;7.7691037E-05
8825;7.7992869E-05
8850;7.8294030E-05
8875;7.8594524E-05
8900;7.8894352E-05
8925;7.9193515E-05
8950;7.9492014E-05
8975;7.9789855E-05
9000;8.0087035E-05
9025;8.0383558E-05
9050;8.0679425E-05
9075;8.0974637E-05
9100;8.1269198E-05
9125;8.1563107E-05
9150;8.1856367E-05
9175;8.2148981E-05
9200;8.2440948E-05
9225;8.2732270E-05
9250;8.3022951E-05
9275;8.3312992E-05
9300;8.3602391E-05
9325;8.3891154E-05
9350;8.4179280E-05
9375;8.4466772E-05
9400;8.4753630E-05
9425;8.5039858E-05
9450;8.5325457E-05
9475;8.5610426E-05
9500;8.5894769E-05
9525;8.6178486E-05
9550;8.6461581E-05
9575;8.6744054E-05
9600;8.7025905E-05
9625;8.7307138E-05
9650;8.7587755E-05
9675;8.7867755E-05
9700;8.8147140E-05
9725;8.8425913E-05
9750;8.8704075E-05
9775;8.8981627E-05
9800;8.9258571E-05
9825;8.9534907E-05
9850;8.9810638E-05
9875;9.0085765E-05
9900;9.0360289E-05
9925;9.0634214E-05
9950;9.0907537E-05
9975;9.1180264E-05
10000;9.1452396E-05
10025;9.1723930E-05
10050;9.1994870E-05
10075;9.2265219E-05
10100;9.2534976E-05
10125;9.2804146E-05
10150;9.3072725E-05
10175;9.3340719E-05
10200;9.3608127E-05
10225;9.3874953E-05
10250;9.4141194E-05
10275;9.4406856E-05
10300;9.4671937E-05
10325;9.4936441E-05
10350;9.5200368E-05
10375;9.5463718E-05
10400;9.5726495E-05
10425;9.5988700E-05
10450;9.6250331E-05
10475;9.6511394E-05
10500;9.6771887E-05
10525;9.7031814E-05
10550;9.7291173E-05
10575;9.7549968E-05
10600;9.7808200E-05
10625;9.8065870E-05
10650;9.8322979E-05
10675;9.8579527E-05
10700;9.8835519E-05
10725;9.9090953E-05
10750;9.9345832E-05
10775;9.9600157E-05
10800;9.9853928E-05
10825;1.0010715E-04
10850;1.0035982E-04
10875;1.0061194E-04
10900;1.0086351E-04
10925;1.0111454E-04
10950;1.0136502E-04
10975;1.0161495E-04
11000;1.0186435E-04
11025;1.0211320E-04
11050;1.0236151E-04
11075;1.0260928E-04
11100;1.0285652E-04
11125;1.0310322E-04
11150;1.0334938E-04
11175;1.0359501E-04
11200;1.0384011E-04
11225;1.0408467E-04
11250;1.0432870E-04
11275;1.0457221E-04
11300;1.0481519E-04
11325;1.0505764E-04
11350;1.0529956E-04
11375;1.0554096E-04
11400;1.0578184E-04
11425;1.0602219E-04
11450;1.0626203E-04
11475;1.0650134E-04
11500;1.0674014E-04
11525;1.0697842E-04
11550;1.0721618E-04
11575;1.0745343E-04
11600;1.0769016E-04
11625;1.0792638E-04
11650;1.0816209E-04
11675;1.0839729E-04
11700;1.0863198E-04
