time, s;kernel_delta_c, m3.kg-1
0;0.0000000E+00
25;-8.6623770E-05
50;-1.2022267E-04
75;-1.4364839E-04
100;-1.6176349E-04
125;-1.7658574E-04
150;-1.8913937E-04
175;-2.0002010E-04
200;-2.0960811E-04
225;-2.1816246E-04
250;-2.2586847E-04
275;-2.3286379E-04
300;-2.3925372E-04
325;-2.4512077E-04
350;-2.5053091E-04
375;-2.5553775E-04
400;-2.6018552E-04
425;-2.6451116E-04
450;-2.6854584E-04
475;-2.7231614E-04
500;-2.7584492E-04
525;-2.7915199E-04
550;-2.8225466E-04
575;-2.8516809E-04
600;-2.8790574E-04
625;-2.9047955E-04
650;-2.9290017E-04
675;-2.9517720E-04
700;-2.9731927E-04
725;-2.9933421E-04
750;-3.0122916E-04
775;-3.0301059E-04
800;-3.0468447E-04
825;-3.0625628E-04
850;-3.0773107E-04
875;-3.0911350E-04
900;-3.1040791E-04
925;-3.1161835E-04
950;-3.1274856E-04
975;-3.1380207E-04
1000;-3.1478219E-04
1025;-3.1569198E-04
1050;-3.1653439E-04
1075;-3.1731214E-04
1100;-3.1802784E-04
1125;-3.1868394E-04
1150;-3.1928278E-04
1175;-3.1982655E-04
1200;-3.2031736E-04
1225;-3.2075720E-04
1250;-3.2114798E-04
1275;-3.2149152E-04
1300;-3.2178954E-04
1325;-3.2204371E-04
1350;-3.2225562E-04
1375;-3.2242677E-04
1400;-3.2255862E-04
1425;-3.2265258E-04
1450;-3.2270998E-04
1475;-3.2273211E-04
1500;-3.2272019E-04
1525;-3.2267544E-04
1550;-3.2259898E-04
1575;-3.2249191E-04
1600;-3.2235530E-04
1625;-3.2219018E-04
1650;-3.2199751E-04
1675;-3.2177826E-04
1700;-3.2153333E-04
1725;-3.2126363E-04
1750;-3.2096998E-04
1775;-3.2065322E-04
1800;-3.2031415E-04
1825;-3.1995352E-04
1850;-3.1957208E-04
1875;-3.1917056E-04
1900;-3.1874963E-04
1925;-3.1830997E-04
1950;-3.1785223E-04
1975;-3.1737703E-04
2000;-3.1688499E-04
2025;-3.1637668E-04
2050;-3.1585267E-04
2075;-3.1531351E-04
2100;-3.1475974E-04
2125;-3.1419185E-04
2150;-3.1361037E-04
2175;-3.1301576E-04
2200;-3.1240848E-04
2225;-3.1178900E-04
2250;-3.1115774E-04
2275;-3.1051515E-04
