time, s;kernel_m_dot_m, 1/s
0;0.0000000E+00
25;5.0820375E-04
50;3.3765733E-04
75;2.6712643E-04
100;2.2882743E-04
125;2.0428805E-04
150;1.8690800E-04
175;1.7377778E-04
200;1.6340705E-04
225;1.5494631E-04
250;1.4787193E-04
275;1.4184145E-04
300;1.3662027E-04
325;1.3204156E-04
350;1.2798301E-04
375;1.2435265E-04
400;1.2107980E-04
425;1.1810910E-04
450;1.1539654E-04
475;1.1290658E-04
500;1.1061020E-04
525;1.0848339E-04
550;1.0650616E-04
575;1.0466164E-04
600;1.0293552E-04
625;1.0131558E-04
650;9.9791271E-05
675;9.8353471E-05
700;9.6994234E-05
725;9.5706589E-05
750;9.4484407E-05
775;9.3322259E-05
800;9.2215337E-05
825;9.1159350E-05
850;9.0150453E-05
875;8.9185199E-05
900;8.8260477E-05
925;8.7373486E-05
950;8.6521673E-05
975;8.5702735E-05
1000;8.4914558E-05
1025;8.4155224E-05
1050;8.3422967E-05
1075;8.2716174E-05
1100;8.2033354E-05
1125;8.1373145E-05
1150;8.0734285E-05
1175;8.0115603E-05
1200;7.9516018E-05
1225;7.8934528E-05
1250;7.8370202E-05
1275;7.7822172E-05
1300;7.7289629E-05
1325;7.6771826E-05
1350;7.6268049E-05
1375;7.5777650E-05
1400;7.5300004E-05
1425;7.4834535E-05
1450;7.4380703E-05
1475;7.3937997E-05
1500;7.3505936E-05
1525;7.3084068E-05
1550;7.2671967E-05
1575;7.2269232E-05
1600;7.1875487E-05
1625;7.1490370E-05
1650;7.1113542E-05
1675;7.0744682E-05
1700;7.0383488E-05
1725;7.0029668E-05
1750;6.9682955E-05
1775;6.9343082E-05
1800;6.9009806E-05
1825;6.8682894E-05
1850;6.8362120E-05
1875;6.8047270E-05
1900;6.7738144E-05
1925;6.7434549E-05
1950;6.7136300E-05
1975;6.6843221E-05
2000;6.6555144E-05
2025;6.6271909E-05
2050;6.5993361E-05
2075;6.5719354E-05
2100;6.5449751E-05
2125;6.5184411E-05
2150;6.4923211E-05
2175;6.4666023E-05
2200;6.4412728E-05
2225;6.4163218E-05
2250;6.3917377E-05
2275;6.3675106E-05
2300;6.3436296E-05
2325;6.3200857E-05
2350;6.2968694E-05
2375;6.2739720E-05
2400;6.2513842E-05
2425;6.2290980E-05
2450;6.2071055E-05
2475;6.1853989E-05
2500;6.1639708E-05
2525;6.1428138E-05
2550;6.1219211E-05
2575;6.1012861E-05
2600;6.0809022E-05
2625;6.0607632E-05
2650;6.0408631E-05
2675;6.0211959E-05
2700;6.0017563E-05
2725;5.9825386E-05
2750;5.9635374E-05
2775;5.9447480E-05
2800;5.9261649E-05
2825;5.9077839E-05
2850;5.8895998E-05
2875;5.8716091E-05
2900;5.8538059E-05
2925;5.8361870E-05
2950;5.8187483E-05
2975;5.8014856E-05
3000;5.7843951E-05
3025;5.7674727E-05
3050;5.7507154E-05
3075;5.7341194E-05
3100;5.7176813E-05
3125;5.7013974E-05
3150;5.6852651E-05
3175;5.6692808E-05
3200;5.6534416E-05
3225;5.6377446E-05
3250;5.6221867E-05
3275;5.6067652E-05
3300;5.5914775E-05
3325;5.5763207E-05
3350;5.5612923E-05
3375;5.5463901E-05
3400;5.5316111E-05
3425;5.5169531E-05
3450;5.5024142E-05
3475;5.4879914E-05
3500;5.4736832E-05
3525;5.4594869E-05
3550;5.4454007E-05
3575;5.4314222E-05
3600;5.4175499E-05
3625;5.4037817E-05
3650;5.3901158E-05
3675;5.3765499E-05
3700;5.3630825E-05
3725;5.3497118E-05
3750;5.3364361E-05
3775;5.3232537E-05
3800;5.3101632E-05
3825;5.2971627E-05
3850;5.2842507E-05
3875;5.2714258E-05
3900;5.2586864E-05
3925;5.2460310E-05
3950;5.2334584E-05
3975;5.2209670E-05
4000;5.2085556E-05
4025;5.1962226E-05
4050;5.1839670E-05
4075;5.1717875E-05
4100;5.1596829E-05
4125;5.1476518E-05
4150;5.1356931E-05
4175;5.1238057E-05
4200;5.1119885E-05
4225;5.1002403E-05
4250;5.0885600E-05
4275;5.0769467E-05
