time, s;kernel_m_dot_m, 1/s
0;0.0000000E+00
25;7.3006957E-04
50;5.5428275E-04
75;4.5667996E-04
100;3.9597096E-04
125;3.5463801E-04
150;3.2450768E-04
175;3.0140009E-04
200;2.8299138E-04
225;2.6789338E-04
250;2.5522593E-04
275;2.4440288E-04
300;2.3501718E-04
325;2.2677732E-04
350;2.1946744E-04
375;2.1292494E-04
400;2.0702391E-04
425;2.0166620E-04
450;1.9677252E-04
475;1.9227967E-04
500;1.8813539E-04
525;1.8429652E-04
550;1.8072703E-04
575;1.7739668E-04
600;1.7427946E-04
625;1.7135338E-04
650;1.6859931E-04
675;1.6600078E-04
700;1.6354327E-04
725;1.6121417E-04
750;1.5900234E-04
775;1.5689781E-04
800;1.5489183E-04
825;1.5297661E-04
850;1.5114510E-04
875;1.4939090E-04
900;1.4770840E-04
925;1.4609241E-04
950;1.4453827E-04
975;1.4304172E-04
1000;1.4159885E-04
1025;1.4020616E-04
1050;1.3886045E-04
1075;1.3755862E-04
1100;1.3629803E-04
1125;1.3507618E-04
1150;1.3389076E-04
1175;1.3273956E-04
1200;1.3162069E-04
1225;1.3053222E-04
1250;1.2947258E-04
1275;1.2844011E-04
1300;1.2743336E-04
1325;1.2645105E-04
1350;1.2549179E-04
1375;1.2455450E-04
1400;1.2363805E-04
1425;1.2274137E-04
1450;1.2186357E-04
1475;1.2100372E-04
1500;1.2016105E-04
1525;1.1933470E-04
1550;1.1852393E-04
1575;1.1772809E-04
1600;1.1694654E-04
1625;1.1617863E-04
1650;1.1542387E-04
1675;1.1468160E-04
1700;1.1395141E-04
1725;1.1323282E-04
1750;1.1252532E-04
1775;1.1182861E-04
1800;1.1114214E-04
1825;1.1046561E-04
1850;1.0979864E-04
1875;1.0914092E-04
1900;1.0849219E-04
1925;1.0785204E-04
1950;1.0722021E-04
1975;1.0659647E-04
2000;1.0598052E-04
2025;1.0537218E-04
2050;1.0477114E-04
2075;1.0417722E-04
2100;1.0359025E-04
2125;1.0300996E-04
2150;1.0243618E-04
2175;1.0186878E-04
2200;1.0130750E-04
2225;1.0075227E-04
2250;1.0020290E-04
2275;9.9659203E-05
2300;9.9121082E-05
2325;9.8588349E-05
2350;9.8060959E-05
2375;9.7538734E-05
2400;9.7021522E-05
2425;9.6509256E-05
2450;9.6001867E-05
2475;9.5499103E-05
2500;9.5001008E-05
2525;9.4507417E-05
2550;9.4018272E-05
2575;9.3533467E-05
2600;9.3052879E-05
2625;9.2576478E-05
2650;9.2104185E-05
2675;9.1635872E-05
2700;9.1171478E-05
2725;9.0710933E-05
2750;9.0254209E-05
2775;8.9801227E-05
2800;8.9351846E-05
2825;8.8906087E-05
2850;8.8463885E-05
2875;8.8025168E-05
2900;8.7589803E-05
2925;8.7157810E-05
2950;8.6729151E-05
2975;8.6303734E-05
3000;8.5881540E-05
3025;8.5462492E-05
3050;8.5046526E-05
3075;8.4633640E-05
3100;8.4223778E-05
3125;8.3816893E-05
3150;8.3412862E-05
3175;8.3011812E-05
3200;8.2613555E-05
3225;8.2218083E-05
3250;8.1825417E-05
3275;8.1435458E-05
3300;8.1048207E-05
3325;8.0663640E-05
3350;8.0281631E-05
3375;7.9902259E-05
3400;7.9525430E-05
3425;7.9151146E-05
3450;7.8779297E-05
3475;7.8409912E-05
3500;7.8043006E-05
3525;7.7678446E-05
3550;7.7316285E-05
3575;7.6956470E-05
3600;7.6598916E-05
3625;7.6243685E-05
3650;7.5890746E-05
3675;7.5539976E-05
3700;7.5191436E-05
3725;7.4845115E-05
3750;7.4500888E-05
3775;7.4158843E-05
3800;7.3818878E-05
3825;7.3481043E-05
3850;7.3145208E-05
3875;7.2811447E-05
3900;7.2479730E-05
3925;7.2149982E-05
3950;7.1822195E-05
3975;7.1496396E-05
4000;7.1172509E-05
4025;7.0850518E-05
4050;7.0530485E-05
4075;7.0212285E-05
4100;6.9895928E-05
4125;6.9581457E-05
4150;6.9268778E-05
4175;6.8957888E-05
4200;6.8648811E-05
4225;6.8341486E-05
4250;6.8035899E-05
4275;6.7732055E-05
4300;6.7429949E-05
4325;6.7129511E-05
4350;6.6830797E-05
4375;6.6533708E-05
4400;6.6238276E-05
4425;6.5944527E-05
4450;6.5652351E-05
4475;6.5361792E-05
4500;6.5072842E-05
4525;6.4785494E-05
4550;6.4499655E-05
4575;6.4215400E-05
4600;6.3932704E-05
4625;6.3651488E-05
4650;6.3371781E-05
4675;6.3093631E-05
4700;6.2816890E-05
4725;6.2541646E-05
4750;6.2267902E-05
4775;6.1995543E-05
4800;6.1724638E-05
4825;6.1455172E-05
4850;6.1187113E-05
4875;6.0920479E-05
4900;6.0655183E-05
4925;6.0391313E-05
4950;6.0128773E-05
4975;5.9867627E-05
5000;5.9607738E-05
5025;5.9349260E-05
5050;5.9092092E-05
5075;5.8836264E-05
5100;5.8581643E-05
5125;5.8328397E-05
5150;5.8076426E-05
5175;5.7825728E-05
5200;5.7576242E-05
5225;5.7328031E-05
5250;5.7081063E-05
5275;5.6835362E-05
5300;5.6590874E-05
5325;5.6347537E-05
5350;5.6105497E-05
5375;5.5864586E-05
5400;5.5624937E-05
5425;5.5386389E-05
5450;5.5149106E-05
5475;5.4912894E-05
5500;5.4677862E-05
5525;5.4443998E-05
5550;5.4211245E-05
5575;5.3979636E-05
5600;5.3749151E-05
5625;5.3519756E-05
5650;5.3291520E-05
