time, s;kernel_m_dot_m, 1/s
0;0.0000000E+00
25;6.5002290E-04
50;3.8460398E-04
75;2.9557742E-04
100;2.4980505E-04
125;2.2098558E-04
150;2.0074668E-04
175;1.8554161E-04
200;1.7358318E-04
225;1.6386156E-04
250;1.5575769E-04
275;1.4886842E-04
300;1.4291836E-04
325;1.3771228E-04
350;1.3310734E-04
375;1.2899636E-04
400;1.2529707E-04
425;1.2194525E-04
450;1.1888981E-04
475;1.1608959E-04
500;1.1351103E-04
525;1.1112641E-04
550;1.0891264E-04
575;1.0685030E-04
600;1.0492291E-04
625;1.0311642E-04
650;1.0141868E-04
675;9.9819276E-05
700;9.8309051E-05
725;9.6879992E-05
750;9.5525155E-05
775;9.4238274E-05
800;9.3013890E-05
825;9.1847066E-05
850;9.0733438E-05
875;8.9669069E-05
900;8.8650429E-05
925;8.7674296E-05
950;8.6737797E-05
975;8.5838303E-05
1000;8.4973428E-05
1025;8.4140949E-05
1050;8.3338903E-05
1075;8.2565459E-05
1100;8.1818919E-05
1125;8.1097753E-05
1150;8.0400497E-05
1175;7.9725869E-05
1200;7.9072638E-05
1225;7.8439653E-05
1250;7.7825902E-05
1275;7.7230349E-05
1300;7.6652115E-05
1325;7.6090375E-05
1350;7.5544296E-05
1375;7.5013167E-05
1400;7.4496277E-05
1425;7.3992955E-05
1450;7.3502638E-05
1475;7.3024722E-05
1500;7.2558681E-05
1525;7.2103995E-05
1550;7.1660199E-05
1575;7.1226856E-05
1600;7.0803495E-05
1625;7.0389756E-05
1650;6.9985218E-05
1675;6.9589570E-05
1700;6.9202440E-05
1725;6.8823518E-05
1750;6.8452493E-05
1775;6.8089062E-05
1800;6.7732980E-05
1825;6.7383951E-05
1850;6.7041733E-05
1875;6.6706126E-05
1900;6.6376827E-05
1925;6.6053692E-05
1950;6.5736476E-05
1975;6.5425009E-05
2000;6.5119068E-05
2025;6.4818506E-05
2050;6.4523120E-05
2075;6.4232774E-05
2100;6.3947314E-05
2125;6.3666561E-05
2150;6.3390383E-05
2175;6.3118650E-05
2200;6.2851203E-05
2225;6.2587967E-05
2250;6.2328768E-05
2275;6.2073503E-05
2300;6.1822081E-05
2325;6.1574352E-05
2350;6.1330265E-05
2375;6.1089678E-05
2400;6.0852493E-05
2425;6.0618656E-05
2450;6.0388039E-05
2475;6.0160559E-05
2500;5.9936152E-05
2525;5.9714719E-05
2550;5.9496183E-05
2575;5.9280506E-05
2600;5.9067549E-05
2625;5.8857308E-05
2650;5.8649683E-05
2675;5.8444590E-05
2700;5.8242004E-05
2725;5.8041854E-05
2750;5.7844066E-05
2775;5.7648582E-05
2800;5.7455359E-05
2825;5.7264363E-05
2850;5.7075498E-05
2875;5.6888748E-05
2900;5.6704033E-05
2925;5.6521330E-05
2950;5.6340593E-05
2975;5.6161767E-05
3000;5.5984813E-05
3025;5.5809704E-05
3050;5.5636358E-05
3075;5.5464782E-05
3100;5.5294922E-05
3125;5.5126716E-05
3150;5.4960173E-05
3175;5.4795211E-05
3200;5.4631829E-05
3225;5.4469972E-05
3250;5.4309654E-05
3275;5.4150756E-05
3300;5.3993346E-05
3325;5.3837327E-05
3350;5.3682685E-05
3375;5.3529400E-05
3400;5.3377462E-05
3425;5.3226810E-05
3450;5.3077459E-05
3475;5.2929320E-05
3500;5.2782426E-05
3525;5.2636726E-05
3550;5.2492206E-05
3575;5.2348843E-05
3600;5.2206610E-05
3625;5.2065501E-05
3650;5.1925473E-05
3675;5.1786527E-05
3700;5.1648608E-05
3725;5.1511746E-05
3750;5.1375881E-05
3775;5.1241023E-05
3800;5.1107117E-05
3825;5.0974189E-05
3850;5.0842181E-05
3875;5.0711113E-05
3900;5.0580952E-05
3925;5.0451680E-05
3950;5.0323282E-05
3975;5.0195753E-05
4000;5.0069054E-05
4025;4.9943192E-05
4050;4.9818148E-05
4075;4.9693896E-05
4100;4.9570445E-05
4125;4.9447783E-05
4150;4.9325868E-05
4175;4.9204697E-05
4200;4.9084264E-05
4225;4.8964584E-05
4250;4.8845599E-05
4275;4.8727312E-05
4300;4.8609720E-05
4325;4.8492805E-05
4350;4.8376569E-05
4375;4.8260992E-05
4400;4.8146066E-05
4425;4.8031769E-05
4450;4.7918096E-05
4475;4.7805060E-05
4500;4.7692627E-05
4525;4.7580800E-05
4550;4.7469555E-05
4575;4.7358901E-05
4600;4.7248817E-05
4625;4.7139301E-05
4650;4.7030336E-05
4675;4.6921930E-05
4700;4.6814061E-05
4725;4.6706730E-05
4750;4.6599924E-05
4775;4.6493635E-05
4800;4.6387861E-05
4825;4.6282589E-05
4850;4.6177815E-05
4875;4.6073530E-05
4900;4.5969737E-05
4925;4.5866414E-05
4950;4.5763575E-05
4975;4.5661183E-05
5000;4.5559265E-05
5025;4.5457800E-05
5050;4.5356775E-05
5075;4.5256191E-05
5100;4.5156041E-05
5125;4.5056323E-05
5150;4.4957027E-05
5175;4.4858154E-05
5200;4.4759700E-05
5225;4.4661650E-05
5250;4.4564007E-05
5275;4.4466757E-05
5300;4.4369910E-05
5325;4.4273446E-05
5350;4.4177371E-05
5375;4.4081673E-05
5400;4.3986347E-05
5425;4.3891396E-05
5450;4.3796812E-05
5475;4.3702597E-05
5500;4.3608736E-05
5525;4.3515228E-05
5550;4.3422072E-05
5575;4.3329259E-05
5600;4.3236797E-05
5625;4.3144675E-05
5650;4.3052889E-05
5675;4.2961431E-05
5700;4.2870299E-05
5725;4.2779497E-05
5750;4.2689016E-05
5775;4.2598848E-05
5800;4.2509004E-05
5825;4.2419468E-05
5850;4.2330238E-05
5875;4.2241312E-05
5900;4.2152697E-05
5925;4.2064372E-05
5950;4.1976356E-05
5975;4.1888624E-05
6000;4.1801186E-05
6025;4.1714027E-05
6050;4.1627159E-05
6075;4.1540573E-05
6100;4.1454272E-05
6125;4.1368248E-05
6150;4.1282495E-05
6175;4.1197015E-05
6200;4.1111810E-05
6225;4.1026867E-05
6250;4.0942192E-05
6275;4.0857767E-05
6300;4.0773618E-05
6325;4.0689726E-05
6350;4.0606077E-05
6375;4.0522693E-05
6400;4.0439565E-05
6425;4.0356672E-05
6450;4.0274039E-05
6475;4.0191642E-05
6500;4.0109486E-05
6525;4.0027582E-05
6550;3.9945911E-05
6575;3.9864480E-05
6600;3.9783280E-05
6625;3.9702314E-05
6650;3.9621589E-05
6675;3.9541083E-05
6700;3.9460809E-05
6725;3.9380762E-05
6750;3.9300942E-05
6775;3.9221338E-05
6800;3.9141969E-05
6825;3.9062810E-05
6850;3.8983865E-05
6875;3.8905143E-05
6900;3.8826637E-05
6925;3.8748347E-05
6950;3.8670261E-05
6975;3.8592396E-05
7000;3.8514729E-05
7025;3.8437276E-05
7050;3.8360026E-05
7075;3.8282983E-05
7100;3.8206144E-05
7125;3.8129510E-05
7150;3.8053067E-05
7175;3.7976836E-05
7200;3.7900794E-05
7225;3.7824955E-05
7250;3.7749296E-05
7275;3.7673849E-05
7300;3.7598590E-05
7325;3.7523527E-05
7350;3.7448651E-05
7375;3.7373971E-05
7400;3.7299466E-05
7425;3.7225160E-05
7450;3.7151032E-05
7475;3.7077094E-05
7500;3.7003335E-05
7525;3.6929764E-05
7550;3.6856381E-05
7575;3.6783165E-05
7600;3.6710135E-05
7625;3.6637291E-05
7650;3.6564616E-05
7675;3.6492118E-05
7700;3.6419805E-05
7725;3.6347650E-05
7750;3.6275684E-05
7775;3.6203893E-05
7800;3.6132265E-05
7825;3.6060803E-05
7850;3.5989523E-05
7875;3.5918410E-05
7900;3.5847463E-05
7925;3.5776691E-05
7950;3.5706081E-05
7975;3.5635630E-05
8000;3.5565351E-05
8025;3.5495234E-05
8050;3.5425279E-05
8075;3.5355493E-05
8100;3.5285863E-05
8125;3.5216392E-05
8150;3.5147087E-05
8175;3.5077937E-05
8200;3.5008955E-05
8225;3.4940129E-05
8250;3.4871457E-05
8275;3.4802937E-05
8300;3.4734576E-05
