time, s;kernel_m_m, 1
0;0.0000000E+00
25;7.8307623E-03
50;1.9931973E-02
75;2.7480344E-02
100;3.3537656E-02
125;3.8784293E-02
150;4.3500034E-02
175;4.7832795E-02
200;5.1872200E-02
225;5.5677483E-02
250;5.9290231E-02
275;6.2740981E-02
300;6.6052947E-02
325;6.9244266E-02
350;7.2329430E-02
375;7.5320238E-02
400;7.8226450E-02
425;8.1056248E-02
450;8.3816569E-02
475;8.6513363E-02
500;8.9151770E-02
525;9.1736274E-02
550;9.4270810E-02
575;9.6758856E-02
600;9.9203503E-02
625;1.0160751E-01
650;1.0397337E-01
675;1.0630331E-01
700;1.0859935E-01
725;1.1086335E-01
750;1.1309697E-01
775;1.1530177E-01
800;1.1747914E-01
825;1.1963039E-01
850;1.2175672E-01
875;1.2385924E-01
900;1.2593898E-01
925;1.2799690E-01
950;1.3003388E-01
975;1.3205075E-01
1000;1.3404830E-01
1025;1.3602726E-01
1050;1.3798829E-01
1075;1.3993206E-01
1100;1.4185915E-01
1125;1.4377014E-01
1150;1.4566556E-01
1175;1.4754592E-01
1200;1.4941170E-01
1225;1.5126336E-01
1250;1.5310131E-01
1275;1.5492598E-01
1300;1.5673774E-01
1325;1.5853697E-01
1350;1.6032401E-01
1375;1.6209920E-01
1400;1.6386287E-01
1425;1.6561530E-01
1450;1.6735680E-01
1475;1.6908764E-01
1500;1.7080808E-01
1525;1.7251838E-01
1550;1.7421879E-01
1575;1.7590953E-01
1600;1.7759082E-01
1625;1.7926289E-01
1650;1.8092594E-01
1675;1.8258017E-01
1700;1.8422576E-01
1725;1.8586290E-01
1750;1.8749177E-01
1775;1.8911254E-01
1800;1.9072537E-01
1825;1.9233041E-01
1850;1.9392782E-01
1875;1.9551775E-01
1900;1.9710034E-01
1925;1.9867572E-01
1950;2.0024403E-01
1975;2.0180540E-01
2000;2.0335994E-01
2025;2.0490778E-01
2050;2.0644904E-01
2075;2.0798382E-01
2100;2.0951224E-01
2125;2.1103440E-01
2150;2.1255040E-01
2175;2.1406034E-01
2200;2.1556432E-01
2225;2.1706243E-01
2250;2.1855476E-01
2275;2.2004140E-01
2300;2.2152243E-01
2325;2.2299794E-01
2350;2.2446800E-01
2375;2.2593270E-01
2400;2.2739212E-01
2425;2.2884632E-01
2450;2.3029538E-01
2475;2.3173936E-01
2500;2.3317835E-01
2525;2.3461239E-01
2550;2.3604156E-01
2575;2.3746593E-01
2600;2.3888555E-01
2625;2.4030048E-01
2650;2.4171078E-01
