time, s;kernel_m_m, 1
0;0.0000000E+00
25;9.1258697E-03
50;2.5180274E-02
75;3.7817308E-02
100;4.8475444E-02
125;5.7858056E-02
150;6.6347377E-02
175;7.4171225E-02
200;8.1476118E-02
225;8.8362178E-02
250;9.4901169E-02
275;1.0114653E-01
300;1.0713928E-01
325;1.1291171E-01
350;1.1848977E-01
375;1.2389468E-01
400;1.2914404E-01
425;1.3425266E-01
450;1.3923315E-01
475;1.4409630E-01
500;1.4885149E-01
525;1.5350689E-01
550;1.5806968E-01
575;1.6254623E-01
600;1.6694218E-01
625;1.7126259E-01
650;1.7551200E-01
675;1.7969450E-01
700;1.8381380E-01
725;1.8787327E-01
750;1.9187597E-01
775;1.9582473E-01
800;1.9972210E-01
825;2.0357045E-01
850;2.0737197E-01
875;2.1112867E-01
900;2.1484241E-01
925;2.1851492E-01
950;2.2214781E-01
975;2.2574256E-01
1000;2.2930056E-01
1025;2.3282313E-01
1050;2.3631146E-01
1075;2.3976670E-01
1100;2.4318991E-01
1125;2.4658208E-01
1150;2.4994417E-01
1175;2.5327705E-01
1200;2.5658155E-01
1225;2.5985846E-01
1250;2.6310852E-01
1275;2.6633243E-01
1300;2.6953085E-01
1325;2.7270441E-01
1350;2.7585369E-01
1375;2.7897927E-01
1400;2.8208168E-01
1425;2.8516142E-01
1450;2.8821898E-01
1475;2.9125482E-01
1500;2.9426938E-01
1525;2.9726308E-01
1550;3.0023631E-01
1575;3.0318946E-01
1600;3.0612290E-01
1625;3.0903696E-01
1650;3.1193199E-01
1675;3.1480831E-01
1700;3.1766622E-01
1725;3.2050603E-01
1750;3.2332800E-01
1775;3.2613243E-01
1800;3.2891956E-01
1825;3.3168966E-01
1850;3.3444296E-01
1875;3.3717971E-01
1900;3.3990012E-01
1925;3.4260442E-01
1950;3.4529283E-01
1975;3.4796553E-01
2000;3.5062275E-01
2025;3.5326466E-01
2050;3.5589145E-01
2075;3.5850330E-01
2100;3.6110039E-01
2125;3.6368290E-01
2150;3.6625097E-01
2175;3.6880479E-01
2200;3.7134449E-01
2225;3.7387024E-01
2250;3.7638218E-01
2275;3.7888045E-01
2300;3.8136521E-01
2325;3.8383657E-01
2350;3.8629469E-01
2375;3.8873969E-01
2400;3.9117169E-01
2425;3.9359082E-01
2450;3.9599721E-01
2475;3.9839098E-01
2500;4.0077223E-01
2525;4.0314108E-01
2550;4.0549765E-01
2575;4.0784205E-01
2600;4.1017438E-01
2625;4.1249475E-01
2650;4.1480325E-01
2675;4.1710001E-01
2700;4.1938510E-01
2725;4.2165863E-01
2750;4.2392069E-01
2775;4.2617138E-01
2800;4.2841080E-01
2825;4.3063902E-01
2850;4.3285615E-01
2875;4.3506226E-01
2900;4.3725745E-01
2925;4.3944179E-01
2950;4.4161538E-01
2975;4.4377829E-01
3000;4.4593061E-01
3025;4.4807241E-01
3050;4.5020377E-01
3075;4.5232477E-01
3100;4.5443549E-01
3125;4.5653600E-01
3150;4.5862637E-01
3175;4.6070668E-01
3200;4.6277700E-01
3225;4.6483739E-01
3250;4.6688793E-01
3275;4.6892870E-01
3300;4.7095974E-01
3325;4.7298114E-01
3350;4.7499296E-01
3375;4.7699525E-01
3400;4.7898810E-01
3425;4.8097156E-01
3450;4.8294569E-01
3475;4.8491055E-01
3500;4.8686621E-01
3525;4.8881273E-01
3550;4.9075017E-01
3575;4.9267858E-01
3600;4.9459802E-01
3625;4.9650855E-01
3650;4.9841023E-01
3675;5.0030312E-01
3700;5.0218726E-01
3725;5.0406271E-01
3750;5.0592954E-01
3775;5.0778779E-01
3800;5.0963751E-01
3825;5.1147876E-01
3850;5.1331159E-01
3875;5.1513604E-01
3900;5.1695218E-01
3925;5.1876005E-01
3950;5.2055971E-01
3975;5.2235119E-01
4000;5.2413455E-01
4025;5.2590984E-01
4050;5.2767710E-01
4075;5.2943639E-01
4100;5.3118774E-01
4125;5.3293121E-01
4150;5.3466683E-01
4175;5.3639467E-01
4200;5.3811475E-01
4225;5.3982713E-01
4250;5.4153185E-01
4275;5.4322895E-01
4300;5.4491847E-01
4325;5.4660046E-01
4350;5.4827497E-01
4375;5.4994202E-01
4400;5.5160167E-01
4425;5.5325396E-01
4450;5.5489892E-01
4475;5.5653660E-01
4500;5.5816703E-01
4525;5.5979026E-01
4550;5.6140632E-01
4575;5.6301526E-01
4600;5.6461711E-01
4625;5.6621192E-01
4650;5.6779971E-01
4675;5.6938052E-01
4700;5.7095441E-01
4725;5.7252139E-01
4750;5.7408151E-01
4775;5.7563480E-01
4800;5.7718130E-01
4825;5.7872105E-01
4850;5.8025408E-01
4875;5.8178042E-01
4900;5.8330012E-01
4925;5.8481320E-01
4950;5.8631970E-01
4975;5.8781966E-01
5000;5.8931310E-01
5025;5.9080006E-01
5050;5.9228058E-01
5075;5.9375468E-01
5100;5.9522241E-01
5125;5.9668378E-01
5150;5.9813884E-01
5175;5.9958762E-01
5200;6.0103014E-01
5225;6.0246645E-01
5250;6.0389656E-01
5275;6.0532052E-01
5300;6.0673834E-01
5325;6.0815007E-01
5350;6.0955574E-01
5375;6.1095536E-01
5400;6.1234898E-01
5425;6.1373662E-01
5450;6.1511832E-01
5475;6.1649409E-01
5500;6.1786398E-01
5525;6.1922800E-01
5550;6.2058619E-01
5575;6.2193858E-01
5600;6.2328519E-01
5625;6.2462605E-01
5650;6.2596119E-01
5675;6.2729064E-01
5700;6.2861442E-01
5725;6.2993256E-01
5750;6.3124509E-01
5775;6.3255204E-01
5800;6.3385343E-01
5825;6.3514929E-01
5850;6.3643965E-01
5875;6.3772452E-01
5900;6.3900394E-01
5925;6.4027794E-01
5950;6.4154653E-01
5975;6.4280975E-01
6000;6.4406761E-01
6025;6.4532015E-01
6050;6.4656739E-01
6075;6.4780935E-01
6100;6.4904606E-01
6125;6.5027754E-01
6150;6.5150382E-01
6175;6.5272493E-01
6200;6.5394087E-01
6225;6.5515169E-01
6250;6.5635740E-01
6275;6.5755802E-01
6300;6.5875359E-01
6325;6.5994412E-01
6350;6.6112963E-01
6375;6.6231015E-01
6400;6.6348571E-01
6425;6.6465632E-01
6450;6.6582201E-01
6475;6.6698280E-01
6500;6.6813870E-01
6525;6.6928976E-01
6550;6.7043598E-01
6575;6.7157739E-01
6600;6.7271400E-01
6625;6.7384585E-01
6650;6.7497296E-01
6675;6.7609533E-01
6700;6.7721300E-01
6725;6.7832599E-01
6750;6.7943432E-01
6775;6.8053801E-01
6800;6.8163707E-01
6825;6.8273154E-01
6850;6.8382143E-01
6875;6.8490676E-01
6900;6.8598755E-01
6925;6.8706382E-01
6950;6.8813559E-01
6975;6.8920289E-01
7000;6.9026573E-01
7025;6.9132412E-01
7050;6.9237810E-01
7075;6.9342769E-01
7100;6.9447289E-01
7125;6.9551373E-01
7150;6.9655023E-01
7175;6.9758241E-01
7200;6.9861028E-01
7225;6.9963387E-01
7250;7.0065320E-01
7275;7.0166828E-01
7300;7.0267913E-01
7325;7.0368577E-01
7350;7.0468822E-01
7375;7.0568650E-01
7400;7.0668062E-01
7425;7.0767061E-01
