time, s;kernel_m_m, 1
0;0.0000000E+00
25;8.1252862E-03
50;2.1058122E-02
75;2.9560390E-02
100;3.6377671E-02
125;4.2262553E-02
150;4.7534207E-02
175;5.2362810E-02
200;5.6851870E-02
225;6.1069930E-02
250;6.5065170E-02
275;6.8872997E-02
300;7.2520331E-02
325;7.6028214E-02
350;7.9413460E-02
375;8.2689756E-02
400;8.5868424E-02
425;8.8958953E-02
450;9.1969391E-02
475;9.4906634E-02
500;9.7776642E-02
525;1.0058461E-01
550;1.0333510E-01
575;1.0603213E-01
600;1.0867930E-01
625;1.1127979E-01
650;1.1383648E-01
675;1.1635195E-01
700;1.1882856E-01
725;1.2126842E-01
750;1.2367349E-01
775;1.2604553E-01
800;1.2838618E-01
825;1.3069694E-01
850;1.3297920E-01
875;1.3523423E-01
900;1.3746322E-01
925;1.3966728E-01
950;1.4184743E-01
975;1.4400464E-01
1000;1.4613978E-01
1025;1.4825371E-01
1050;1.5034721E-01
1075;1.5242101E-01
1100;1.5447582E-01
1125;1.5651228E-01
1150;1.5853101E-01
1175;1.6053259E-01
1200;1.6251757E-01
1225;1.6448647E-01
1250;1.6643979E-01
1275;1.6837799E-01
1300;1.7030152E-01
1325;1.7221080E-01
1350;1.7410624E-01
1375;1.7598821E-01
1400;1.7785707E-01
1425;1.7971319E-01
1450;1.8155689E-01
1475;1.8338848E-01
1500;1.8520827E-01
1525;1.8701655E-01
1550;1.8881361E-01
1575;1.9059969E-01
1600;1.9237507E-01
1625;1.9413999E-01
1650;1.9589468E-01
1675;1.9763936E-01
1700;1.9937426E-01
1725;2.0109959E-01
1750;2.0281554E-01
1775;2.0452230E-01
1800;2.0622008E-01
1825;2.0790904E-01
1850;2.0958936E-01
1875;2.1126121E-01
1900;2.1292475E-01
1925;2.1458013E-01
1950;2.1622751E-01
1975;2.1786703E-01
2000;2.1949883E-01
2025;2.2112305E-01
2050;2.2273982E-01
2075;2.2434927E-01
2100;2.2595152E-01
2125;2.2754669E-01
2150;2.2913490E-01
2175;2.3071626E-01
2200;2.3229089E-01
2225;2.3385888E-01
2250;2.3542034E-01
2275;2.3697536E-01
2300;2.3852406E-01
2325;2.4006651E-01
2350;2.4160282E-01
2375;2.4313307E-01
2400;2.4465735E-01
2425;2.4617574E-01
2450;2.4768832E-01
2475;2.4919518E-01
2500;2.5069639E-01
2525;2.5219202E-01
2550;2.5368216E-01
2575;2.5516687E-01
2600;2.5664622E-01
2625;2.5812028E-01
2650;2.5958912E-01
2675;2.6105280E-01
2700;2.6251138E-01
2725;2.6396493E-01
2750;2.6541350E-01
2775;2.6685716E-01
2800;2.6829596E-01
2825;2.6972995E-01
2850;2.7115920E-01
2875;2.7258376E-01
2900;2.7400367E-01
2925;2.7541898E-01
2950;2.7682976E-01
2975;2.7823604E-01
3000;2.7963787E-01
3025;2.8103530E-01
3050;2.8242838E-01
3075;2.8381714E-01
3100;2.8520164E-01
3125;2.8658191E-01
3150;2.8795799E-01
3175;2.8932994E-01
3200;2.9069777E-01
3225;2.9206155E-01
3250;2.9342129E-01
3275;2.9477705E-01
3300;2.9612885E-01
3325;2.9747673E-01
3350;2.9882073E-01
3375;3.0016088E-01
3400;3.0149722E-01
3425;3.0282977E-01
3450;3.0415857E-01
3475;3.0548366E-01
3500;3.0680506E-01
3525;3.0812280E-01
3550;3.0943691E-01
3575;3.1074742E-01
3600;3.1205436E-01
3625;3.1335777E-01
3650;3.1465765E-01
3675;3.1595405E-01
3700;3.1724699E-01
3725;3.1853650E-01
3750;3.1982259E-01
3775;3.2110530E-01
3800;3.2238465E-01
3825;3.2366067E-01
3850;3.2493338E-01
3875;3.2620279E-01
